110079+00000026 21.104+04019430 22.104+08936340 31..00+00046420 32..10+00046419 33..10+00000506 87..10+00001460 88..10+00001650
110080+00000027 21.104+04441090 22.104+08924140 31..00+00035864 32..10+00035862 33..10+00000563 87..10+00001460 88..10+00001650
110081+00000028 21.104+05127070 22.104+08937360 31..00+00025626 32..10+00025626 33..10+00000357 87..10+00001460 88..10+00001650
110082+00000029 21.104+07520450 22.104+08900520 31..00+00028863 32..10+00028859 33..10+00000687 87..10+00001460 88..10+00001650
110083+00000030 21.104+08553440 22.104+08905440 31..00+00022109 32..10+00022106 33..10+00000539 87..10+00001460 88..10+00001650
110084+00000031 21.104+06136500 22.104+08948370 31..00+00010520 32..10+00010520 33..10+00000225 87..10+00001460 88..10+00001650
110085+00000032 21.104+02529020 22.104+09148500 31..00+00006697 32..10+00006694 33..10-00000022 87..10+00001460 88..10+00001650
110086+00000033 21.104+02949350 22.104+09021030 31..00+00017521 32..10+00017521 33..10+00000083 87..10+00001460 88..10+00001650
110087+00000034 21.104+28045540 22.104+09055140 31..00+00019616 32..10+00019614 33..10-00000125 87..10+00001460 88..10+00001650
110088+00000035 21.104+30925010 22.104+09111350 31..00+00017211 32..10+00017207 33..10-00000168 87..10+00001460 88..10+00001650
110089+00000036 21.104+34011300 22.104+09125130 31..00+00015090 32..10+00015085 33..10-00000184 87..10+00001460 88..10+00001650
110090+00000037 21.104+00613450 22.104+09055050 31..00+00019725 32..10+00019723 33..10-00000126 87..10+00001460 88..10+00001650
110091+00000038 21.104+02206340 22.104+09002140 31..00+00031212 32..10+00031212 33..10+00000170 87..10+00001460 88..10+00001650
110092+00000039 21.104+02638350 22.104+08949420 31..00+00041437 32..10+00041437 33..10+00000314 87..10+00001460 88..10+00001650
110093+00000040 21.104+02834160 22.104+09023260 31..00+00062470 32..10+00062469 33..10-00000236 87..10+00001460 88..10+00001650
110094+00000041 21.104+03117140 22.104+08953030 31..00+00048503 32..10+00048503 33..10+00000288 87..10+00001460 88..10+00001650
110095+00000042 21.104+02622520 22.104+09038300 31..00+00047576 32..10+00047573 33..10-00000343 87..10+00001460 88..10+00001650
110096+00000043 21.104+01906050 22.104+09128480 31..00+00030890 32..10+00030880 33..10-00000608 87..10+00001460 88..10+00001650
110097+00000044 21.104+34516260 22.104+09415590 31..00+00018815 32..10+00018763 33..10-00001210 87..10+00001460 88..10+00001650
110098+00000045 21.104+32518550 22.104+09256380 31..00+00021325 32..10+00021297 33..10-00002065 87..10+00002620 88..10+00001650
110099+00000046 21.104+28733110 22.104+09207170 31..00+00022314 32..10+00022299 33..10-00001796 87..10+00002620 88..10+00001650
